Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location
ANGLAIS (S2) TD G1A en 110,14/02/2022,08:30 AM,,10:00 AM,FALSE,110,
ANGLAIS (S2) TD G1B en 110,14/02/2022,10:30 AM,,12:00 PM,FALSE,110,
Robotique TP2 G1A-Embarqué Linux TP G1B en RM 204-MOM 206,14/02/2022,01:30 PM,,03:00 PM,FALSE,RM 204-MOM 206,
Robotique TP2 G1A-Embarqué Linux TP G1B en RM 204-MOM 206,14/02/2022,03:15 PM,,04:45 PM,FALSE,RM 204-MOM 206,
ROS C en 104,15/02/2022,08:30 AM,,10:00 AM,FALSE,104,
LANGUE 2 (S2) TD en 103 107 110 112 303 304 305 306 307 308,15/02/2022,10:30 AM,,12:00 PM,FALSE,103 107 110 112 303 304 305 306 307 308,
IA RDN TP en 104,15/02/2022,01:30 PM,,03:00 PM,FALSE,104,
IA RDN TP en 104,15/02/2022,03:15 PM,,04:45 PM,FALSE,104,
ROS TP en 104,16/02/2022,08:30 AM,,10:00 AM,FALSE,104,
ROS TP en 104,16/02/2022,10:30 AM,,12:00 PM,FALSE,104,
GRAPHES TD en 203,16/02/2022,01:30 PM,,03:00 PM,FALSE,203,
PROJET en 219 302,16/02/2022,03:15 PM,,04:45 PM,FALSE,219 302,
PROJET en 219 302,16/02/2022,05:00 PM,,06:30 PM,FALSE,219 302,
PROJET Point conduite du en 110 112,17/02/2022,08:30 AM,,10:00 AM,FALSE,110 112,
PROJET Point conduite du en 110 112,17/02/2022,10:30 AM,,12:00 PM,FALSE,110 112,
ROS TP en 104,17/02/2022,01:30 PM,,03:00 PM,FALSE,104,
ROS TP en 104,17/02/2022,03:15 PM,,04:45 PM,FALSE,104,
Réunion délégués en 304,17/02/2022,05:00 PM,,06:30 PM,FALSE,304,
PROJET Point conduite du en 110 112,18/02/2022,08:30 AM,,10:00 AM,FALSE,110 112,
PROJET Point conduite du en 110 112,18/02/2022,10:30 AM,,12:00 PM,FALSE,110 112,
Robotique TP2 G1B-Embarqué Linux TP G1A en GF 204-MOM 206,18/02/2022,01:30 PM,,03:00 PM,FALSE,GF 204-MOM 206,
Robotique TP2 G1B-Embarqué Linux TP G1A en GF 204-MOM 206,18/02/2022,03:15 PM,,04:45 PM,FALSE,GF 204-MOM 206,
VACANCES SCOLAIRES en 0,21/02/2022,08:30 AM,,10:00 AM,FALSE,0,
VACANCES SCOLAIRES en 0,21/02/2022,10:30 AM,,12:00 PM,FALSE,0,
VACANCES SCOLAIRES en 0,21/02/2022,12:00 PM,,01:30 PM,FALSE,0,
VACANCES SCOLAIRES en 0,21/02/2022,01:30 PM,,03:00 PM,FALSE,0,
VACANCES SCOLAIRES en 0,21/02/2022,03:15 PM,,04:45 PM,FALSE,0,
VACANCES SCOLAIRES en 0,21/02/2022,05:00 PM,,06:30 PM,FALSE,0,
VACANCES SCOLAIRES en 0,22/02/2022,08:30 AM,,10:00 AM,FALSE,0,
VACANCES SCOLAIRES en 0,22/02/2022,10:30 AM,,12:00 PM,FALSE,0,
VACANCES SCOLAIRES en 0,22/02/2022,12:00 PM,,01:30 PM,FALSE,0,
VACANCES SCOLAIRES en 0,22/02/2022,01:30 PM,,03:00 PM,FALSE,0,
VACANCES SCOLAIRES en 0,22/02/2022,03:15 PM,,04:45 PM,FALSE,0,
VACANCES SCOLAIRES en 0,22/02/2022,05:00 PM,,06:30 PM,FALSE,0,
VACANCES SCOLAIRES en 0,23/02/2022,08:30 AM,,10:00 AM,FALSE,0,
VACANCES SCOLAIRES en 0,23/02/2022,10:30 AM,,12:00 PM,FALSE,0,
VACANCES SCOLAIRES en 0,23/02/2022,12:00 PM,,01:30 PM,FALSE,0,
VACANCES SCOLAIRES en 0,23/02/2022,01:30 PM,,03:00 PM,FALSE,0,
VACANCES SCOLAIRES en 0,23/02/2022,03:15 PM,,04:45 PM,FALSE,0,
VACANCES SCOLAIRES en 0,23/02/2022,05:00 PM,,06:30 PM,FALSE,0,
VACANCES SCOLAIRES en 0,24/02/2022,08:30 AM,,10:00 AM,FALSE,0,
VACANCES SCOLAIRES en 0,24/02/2022,10:30 AM,,12:00 PM,FALSE,0,
VACANCES SCOLAIRES en 0,24/02/2022,12:00 PM,,01:30 PM,FALSE,0,
VACANCES SCOLAIRES en 0,24/02/2022,01:30 PM,,03:00 PM,FALSE,0,
